Input provided to the model,Whether the prediction is correct (true/false),Expected if condition,Predicted if condition,Prediction score (0-100)
"def create_gpt_vector_store(client: ""OpenAI"", name: str, fild_ids: list[str]) -> Any:
    
    try:
        vector_store = client.vector_stores.create(name=name)
    except Exception as e:
        raise AttributeError(f""Failed to create vector store, please install the latest OpenAI python package: {e}"")

    # poll the status of the file batch for completion.
    batch = client.vector_stores.file_batches.create_and_poll(vector_store_id=vector_store.id, file_ids=fild_ids)

    [IF_MASK]
        time.sleep(1)
        logging.debug(f""file batch status: {batch.file_counts}"")
        batch = client.vector_stores.file_batches.poll(vector_store_id=vector_store.id, batch_id=batch.id)

    if batch.status == ""completed"":
        return vector_store

    raise ValueError(f""Failed to upload files to vector store {vector_store.id}:{batch.status}"")",false,"    if batch.status == ""in_progress"":","ĠĠĠ Ġif Ġnot Ġisinstance ( name , Ġ"" id '): is _ id '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '):",100.0
"def get_config_for_model(model_string: str) -> Dict[str, Any]:
    
    [IF_MASK]
        return MODEL_CONFIG_MAP[model_string]
    # If model not found, use default configuration based on provider
    provider, _ = parse_model_string(model_string)
    return {
        ""provider"": provider,
        ""default_params"": {""temperature"": 0.3},
    }",false,    if model_string in MODEL_CONFIG_MAP:,"ĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ key , Ġ"" POST "":",100.0
"def _validate_resolution_format(resolution: str):
    
    pattern = r""^\d+x\d+$""  # Matches a pattern of digits, ""x"", and digits
    matched_resolution = re.match(pattern, resolution)
    [IF_MASK]
        raise ValueError(f""Invalid resolution format: {resolution}"")",false,    if matched_resolution is None:,"ĠĠĠ Ġif Ġnot Ġisinstance ( x , Ġ"" x '): x '): x "": x "": x "": x "": x "": x "": x "": x "": x "": x "": x "": x "": x "": x "": x "": x "": x",100.0
"def create_item(
        name: str, value: int, state: dict[str, Any] | None = None
    ) -> dict[str, Any]:
        
        [IF_MASK]
            # state was read
            pass
        return {""name"": name, ""value"": value}",false,        if state:,"ĠĠĠ Ġif Ġnot Ġisinstance ( value , Ġname ): ( value ): ): ): ): ( value ): ): ): ( value ): ):",100.0
"def create_named_schedule_sampler(name, diffusion):
    
    [IF_MASK]
        return UniformSampler(diffusion)
    elif name == ""loss-second-moment"":
        return LossSecondMomentResampler(diffusion)
    else:
        raise NotImplementedError(f""unknown schedule sampler: {name}"")",false,"    if name == ""uniform"":","ĠĠĠ Ġif Ġnot Ġname : name Ġ== Ġ"" name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "": name "":",100.0
"def validate_window_size(configured: dict[str, Any], actual: dict[str, Any]) -> None:
	
	# Allow for small differences due to browser chrome, scrollbars, etc.
	width_diff = abs(configured['width'] - actual['width'])
	height_diff = abs(configured['height'] - actual['height'])

	# Tolerance of 5% or 20px, whichever is greater
	width_tolerance = max(configured['width'] * 0.05, 20)
	height_tolerance = max(configured['height'] * 0.05, 20)

	[IF_MASK]
		print(f'⚠️  WARNING: Significant difference between expected and actual page size! ±{width_diff}x{height_diff}px')
		raise Exception('Window size validation failed')
	else:
		print('✅ Window size validation passed: actual size matches configured size within tolerance')",false,	if width_diff > width_tolerance or height_diff > height_tolerance:,"ĠĠĠ Ġif Ġnot Ġisinstance ( x , Ġ' x '): x '): x '): x '): x '): x '): x '): x '): x '): x '): x '): x '): x '): x '): x '): x '): x '): x '): x",100.0
"def cleanup_memory(self):
        
        # Clear CUDA cache
        [IF_MASK]
            torch.cuda.empty_cache()

            # Log memory usage if in verbose mode
            allocated = torch.cuda.memory_allocated() / (1024 ** 3)
            reserved = torch.cuda.memory_reserved() / (1024 ** 3)
            logger.info(f""GPU Memory: {allocated:.2f}GB allocated, {reserved:.2f}GB reserved"")

        # Collect Python garbage
        import gc
        gc.collect()",false,        if torch.cuda.is_available():,ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ path ): ): ): ): . is _ path ): . is _ path ): . is _ path ): . is _ path ): . is _ path ): . is _ path ): . is _ path ): . is _,100.0
"def copy_to_shm(src:str):
    
    shm_model_root = '/dev/shm/verl-cache/'
    src_abs = os.path.abspath(os.path.normpath(src))
    dest = os.path.join(shm_model_root, hashlib.md5(src_abs.encode('utf-8')).hexdigest())
    os.makedirs(dest, exist_ok=True)
    dest = os.path.join(dest, os.path.basename(src_abs))
    [IF_MASK]
        # inform user and depends on him
        print(f""[WARNING]: The memory model path {dest} already exists. If it is not you want, please clear it and restart the task."")
    else:
        if os.path.isdir(src):
            shutil.copytree(src, dest, symlinks=False, dirs_exist_ok=True)
        else:
            shutil.copy2(src, dest)
    return dest",false,"    if os.path.exists(dest) and verify_copy(src, dest):",ĠĠĠ Ġif Ġnot Ġos . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path .,100.0
"def from_pretrained(self, repo_id: str) -> ""Vocos"":
        
        config_path = hf_hub_download(repo_id=repo_id, filename=""config.yaml"")
        model_path = hf_hub_download(repo_id=repo_id, filename=""pytorch_model.bin"")
        model = self.from_hparams(config_path)
        state_dict = torch.load(model_path, map_location=""cpu"")
        [IF_MASK]
            encodec_parameters = {
                ""feature_extractor.encodec."" + key: value
                for key, value in model.feature_extractor.encodec.state_dict().items()
            }
            state_dict.update(encodec_parameters)
        model.load_state_dict(state_dict)
        model.eval()
        return model",false,"        if isinstance(model.feature_extractor, EncodecFeatures):",ĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ id : ( self . is _ id ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ):,100.0
"def _parse_datetime_field(self, dt_obj: Optional[Dict]) -> Optional[datetime]:
        
        [IF_MASK]
            return None
        try:
            dt_str = dt_obj[""dateTime""]
            if ""T"" in dt_str:
                # Handle timezone info
                if dt_str.endswith(""Z""):
                    dt_str = dt_str.replace(""Z"", ""+00:00"")
                elif ""+"" not in dt_str and ""-"" not in dt_str[-6:]:
                    # If no timezone info, assume UTC
                    dt_str += ""+00:00""
                return datetime.fromisoformat(dt_str)
        except (ValueError, TypeError) as e:
            logger.warning(f""Error parsing datetime: {str(e)}"")
        return None",false,"        if not dt_obj or not dt_obj.get(""dateTime""):","ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ name , Ġ"" name ):",100.0
"def _get_auth_headers(self) -> Dict[str, str]:
        
        headers = {
            ""Content-Type"": ""application/json"",
            ""Accept"": ""application/json""
        }
        
        [IF_MASK]
            # Basic authentication (username:password)
            encoded_credentials = base64.b64encode(self.credentials.encode()).decode()
            headers[""Authorization""] = f""Basic {encoded_credentials}""
        else:
            # API key authentication
            headers[""Authorization""] = f""Bearer {self.credentials}""
        
        return headers",false,        if ':,ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ name ): ): ): ): ): ): ): ): ): ): ): ):,100.0
"def build_agent_tree(parent_tree, agent_obj):
            
            parent_tree.add(create_tools_section(agent_obj.tools))

            [IF_MASK]
                agents_branch = parent_tree.add(""🤖 [italic #1E90FF]Managed agents:"")
                for name, managed_agent in agent_obj.managed_agents.items():
                    agent_tree = agents_branch.add(get_agent_headline(managed_agent, name))
                    if managed_agent.__class__.__name__ == ""CodeAgent"":
                        agent_tree.add(
                            f""✅ [italic #1E90FF]Authorized imports:[/italic #1E90FF] {managed_agent.additional_authorized_imports}""
                        )
                    agent_tree.add(f""📝 [italic #1E90FF]Description:[/italic #1E90FF] {managed_agent.description}"")
                    build_agent_tree(agent_tree, managed_agent)",false,            if agent_obj.managed_agents:,"ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . path , Ġ"" 0 ): 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "": 1 "":",100.0
"def _read_file_safe(file_path: str) -> Optional[str]:
    
    [IF_MASK]
        return None
    try:
        with open(file_path, 'r', encoding='utf-8') as f:
            return f.read()
    except Exception as e:
        logger.error(f""Error reading file {file_path}: {e}"")
        return None",false,    if not os.path.exists(file_path):,ĠĠĠ Ġif Ġnot Ġos . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path .,100.0
"def __init__(
        self,
        exit_stack: contextlib.AsyncExitStack | None = None,
        component_name_hook: _ComponentNameHook | None = None,
    ) -> None:
        

        self._tools = {}
        self._resources = {}
        self._prompts = {}

        self._sessions = {}
        self._tool_to_session = {}
        [IF_MASK]
            self._exit_stack = contextlib.AsyncExitStack()
            self._owns_exit_stack = True
        else:
            self._exit_stack = exit_stack
            self._owns_exit_stack = False
        self._session_exit_stacks = {}
        self._component_name_hook = component_name_hook",false,        if exit_stack is None:,"ĠĠĠĠĠĠĠ Ġif Ġself ._ name : name _ name _ name : ( self . name , Ġ' name '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '):",100.0
"def _fix_chrome_permissions(self, user_data_dir):
        
        try:
            [IF_MASK]
                import subprocess
                import pwd
                
                # Get current user
                current_user = pwd.getpwuid(os.getuid()).pw_name
                
                # Fix permissions for Chrome directory
                chrome_dir = os.path.expanduser('~/Library/Application Support/Google/Chrome')
                if os.path.exists(chrome_dir):
                    subprocess.run(['chmod', '-R', 'u+rwX', chrome_dir])
                    subprocess.run(['chown', '-R', f'{current_user}:staff', chrome_dir])
                    print(f""{Fore.GREEN}{EMOJI['SUCCESS']} {self.translator.get('oauth.chrome_permissions_fixed') if self.translator else 'Fixed Chrome user data directory permissions'}{Style.RESET_ALL}"")
        except Exception as e:
            print(f""{Fore.YELLOW}{EMOJI['WARNING']} {self.translator.get('oauth.chrome_permissions_fix_failed', error=str(e)) if self.translator else f'Failed to fix Chrome permissions: {str(e)}'}{Style.RESET_ALL}"")",false,            if sys.platform == 'darwin':,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġos . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path .,100.0
"def init_progressive(self, noise_scale=0.01):
        
        self._copy_non_transformer_params()

        # copy pretrained layers
        for i in range(self.pretrained_layers):
            for key in self.pretrained_state:
                [IF_MASK]
                    new_key = key.replace(f""blocks.{i}."", f""blocks.{i}."")
                    self.target_state[new_key] = self.pretrained_state[key]

        # progressive init new layers
        for i in range(self.pretrained_layers, self.target_layers):
            prev_layer = i - 1
            for key in self.target_state:
                if f""blocks.{i}."" in key:
                    prev_key = key.replace(f""blocks.{i}."", f""blocks.{prev_layer}."")
                    # add random noise
                    noise = torch.randn_like(self.target_state[prev_key]) * noise_scale
                    self.target_state[key] = self.target_state[prev_key] + noise

        self.target_model.load_state_dict(self.target_state)
        return self.target_model",false,"                if f""blocks.{i}."" in key:",ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ name : ( self . is _ key ):,100.0
"def check_and_install_dependencies():
    
    required_packages = [
        ""uvicorn"",
        ""tiktoken"",
        ""fastapi"",
        # Add other required packages here
    ]

    for package in required_packages:
        [IF_MASK]
            print(f""Installing {package}..."")
            pm.install(package)
            print(f""{package} installed successfully"")",false,        if not pm.is_installed(package):,ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . path ): . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path .,100.0
"def _analyze_contrarian_sentiment(news):
    

    max_score = 1
    score = 0
    details: list[str] = []

    [IF_MASK]
        details.append(""No recent news"")
        return {""score"": score, ""max_score"": max_score, ""details"": ""; "".join(details)}

    # Count negative sentiment articles
    sentiment_negative_count = sum(
        1 for n in news if n.sentiment and n.sentiment.lower() in [""negative"", ""bearish""]
    )
    
    if sentiment_negative_count >= 5:
        score += 1  # The more hated, the better (assuming fundamentals hold up)
        details.append(f""{sentiment_negative_count} negative headlines (contrarian opportunity)"")
    else:
        details.append(""Limited negative press"")

    return {""score"": score, ""max_score"": max_score, ""details"": ""; "".join(details)}",false,    if not news:,ĠĠĠ Ġif Ġ( x . has _ name ):,100.0
"def opt_repetitions(up_to_n, prefix_with_sep=False):
        

        content = (
            f""{separator_rule} {item_rule}""
            if prefix_with_sep and separator_rule
            else item_rule
        )
        [IF_MASK]
            return """"
        elif up_to_n == 1:
            return f""({content})?""
        elif separator_rule and not prefix_with_sep:
            return f""({content} {opt_repetitions(up_to_n - 1, prefix_with_sep=True)})?""
        else:
            return (f""({content} "" * up_to_n).rstrip() + ("")?"" * up_to_n)",false,        if up_to_n == 0:,"ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( value , Ġ"" value '): "" Ġin Ġ"" value Ġ== Ġ"" 0 : ): ): ): ): ): ( value ): ): ): ( value ): ( value ): ( value ): ( value ): ( value ): ( value ): (",100.0
"def comment_magic_commands(script_content: str) -> str:
    
    lines = script_content.splitlines()
    commented_lines = []
    for line in lines:
        # Check for magic commands, shell commands, or direct execution commands
        [IF_MASK]
            commented_lines.append(f""# {line}"")  # Comment the line
        else:
            commented_lines.append(line)  # Keep the line unchanged
    return ""\n"".join(commented_lines)",false,"        if re.match(r'^\s*(!|%|pip|apt-get|curl|conda)', line.strip()):","ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . path ): , Ġ' POST '):",100.0
"def to_native_types(obj: Any, resolve: bool = True, throw_on_missing: bool = True, enum_to_str: bool = True) -> Any:
    

    # convert dataclass to structured config
    [IF_MASK]
        # huggingface objects have a to_dict method, we prefer that
        obj = obj.to_dict()
    elif is_dataclass(obj):
        # we go through structured config instead and hope for the best
        obj = om.to_container(obj)

    if isinstance(obj, DictConfig) or isinstance(obj, ListConfig):
        obj = om.to_container(obj, resolve=resolve, throw_on_missing=throw_on_missing, enum_to_str=enum_to_str)

    if isinstance(obj, dict):
        return {k: to_native_types(v) for k, v in obj.items()}
    elif isinstance(obj, list):
        return [to_native_types(v) for v in obj]
    else:
        return obj",false,"    if hasattr(obj, ""to_dict""):","ĠĠĠ Ġif Ġnot Ġisinstance ( self , Ġ' text '): '): ( self . is _ key '): ): ( self . get ( self . get ( self . get ( self . get ( self . get ( self . get ( self . get ( self . get ( self . get ( self . get",100.0
"def detect_mutating_keywords(sql: str) -> list[str]:
    
    matched = []

    [IF_MASK]
        matched.append('DDL')

    if PERMISSION_REGEX.search(sql):
        matched.append('PERMISSION')

    if SYSTEM_REGEX.search(sql):
        matched.append('SYSTEM')

    # Match individual keywords from MUTATING_KEYWORDS
    keyword_matches = MUTATING_PATTERN.findall(sql)
    if keyword_matches:
        # Deduplicate and normalize casing
        matched.extend(sorted({k.upper() for k in keyword_matches}))

    return matched",false,    if DDL_REGEX.search(sql):,ĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ id ): ):,100.0
"def _get_trace_filename(self) -> str:
        
        path_pattern = self.path_settings.path_pattern
        unique_id_type = self.path_settings.unique_id

        [IF_MASK]
            unique_id = self.session_id
        elif unique_id_type == ""timestamp"":
            now = datetime.now()
            time_format = self.path_settings.timestamp_format
            unique_id = now.strftime(time_format)
        else:
            raise ValueError(
                f""Invalid unique_id type: {unique_id_type}. Expected 'session_id' or 'timestamp'.""
            )

        return path_pattern.replace(""{unique_id}"", unique_id)",false,"        if unique_id_type == ""session_id"":",ĠĠĠĠĠĠĠ Ġif Ġself . is _ id : ):,100.0
"def print_curl(self, method: str, path: str, data: Optional[Dict[str, Any]] = None) -> None:
        
        curl_cmd = f
        
        [IF_MASK]
            curl_cmd += f"" \\\n  -H 'Content-Type: application/json' \\\n  -d '{json.dumps(data)}'""
        
        print(""\nEquivalent curl command:"")
        print(curl_cmd)
        print()",false,        if data:,ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ id ): ( self . is _ id ): ): ): ): ):,100.0
"def _log_available_capabilities(self):
        
        capabilities = []
        [IF_MASK]
            capabilities.append(""Mistral OCR"")
        if self.exiftool_available:
            capabilities.append(""Exiftool metadata extraction"")
        if self.openai_client:
            capabilities.append(""OpenAI image description"")

        if capabilities:
            logger.info(f""Image converter initialized with: {', '.join(capabilities)}"")
        else:
            logger.warning(""Image converter initialized without any processing capabilities"")",false,        if self.mistral_client:,ĠĠĠĠĠĠĠ Ġif Ġself . is _ name : ( self . is _ name ): ): ): ): ): ): ): : ):,100.0
"def _run(self, **kwargs) -> str:
        
        [IF_MASK]
            return (
                ""No MCP server is currently active. ""
                ""Use connect_to_mcp_server to connect to a server.""
            )
        return f""Currently active MCP server: {self.server_manager.active_server}""",false,        if not self.server_manager.active_server:,"ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ name ): ): ): ): , Ġ"" user _ name "": path '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '):",100.0
"def load_images_from_directory(image_dir, valid_extensions=('.jpg', '.jpeg', '.png', '.webp')):
    
    images_dict = {}

    [IF_MASK]
        raise ValueError(f""Directory {image_dir} does not exist"")

    for filename in os.listdir(image_dir):
        if filename.lower().endswith(valid_extensions):
            image_path = os.path.join(image_dir, filename)
            try:
                image = Image.open(image_path).convert(""RGB"")
                images_dict[image_path] = image
            except Exception as e:
                print(f""Failed to load image {filename}: {str(e)}"")

    if not images_dict:
        raise ValueError(f""No valid image files found in {image_dir}"")

    return images_dict",false,    if not os.path.exists(image_dir):,ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġos . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path .,100.0
"def _update_component_states(self, states: dict[str, Any]):
        
        with self._lock:
            logger.info(""[STATE] Updating states"")
            for component_id, new_value in states.items():
                old_value = self._component_states.get(component_id)

                cleaned_new_value = clean_nan_values(new_value)
                cleaned_old_value = clean_nan_values(old_value)

                [IF_MASK]
                    self._component_states[component_id] = cleaned_new_value
                    logger.info(f""[STATE] State changed for {component_id=}"")
                    if logger.isEnabledFor(logging.DEBUG):
                        logger.debug(f""[STATE]  - {cleaned_old_value=}\n  - {cleaned_new_value=}"")",false,                if cleaned_old_value != cleaned_new_value:,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ name : ( value ): ( value ): ( value ): ( value ): ( value ): ( value ): ( value ): ( value ): ( value ): ( value ): ( value ): ( value ): ( value ): (,100.0
"def safe_save_model_for_hf_trainer(trainer: transformers.Trainer, output_dir: str):
    

    [IF_MASK]
        torch.cuda.synchronize()
        trainer.save_model(output_dir)
        return

    state_dict = trainer.model.state_dict()
    if trainer.args.should_save:
        cpu_state_dict = {key: value.cpu() for key, value in state_dict.items()}
        del state_dict
        trainer._save(output_dir, state_dict=cpu_state_dict)",false,    if trainer.deepspeed:,"ĠĠĠ Ġif Ġnot Ġisinstance ( value , Ġ' POST '): ': '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '):",100.0
"def load_model(self) -> None:
        
        # TODO: add mps (apple metal) support, currently cant benchmark mps device accurately for energy
        [IF_MASK]
            nexa_model = NexaTextInference(model_path=self.config.model, device=""gpu"", **self.config.model_kwargs)
        elif self.config.device == ""cpu"":
            nexa_model = NexaTextInference(model_path=self.config.model, device=""cpu"", **self.config.model_kwargs)
        else:
            raise ValueError(f""Invalid device: {self.config.device}"")
        
        self.pretrained_model = nexa_model.model",false,"        if self.config.device == ""cuda"" or self.config.device == ""mps"":",ĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ path : ( self . is _ path ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ):,100.0
"def switch_applications(self, app_code):
        
        [IF_MASK]
            return f""import pyautogui; import time; pyautogui.hotkey('command', 'space', interval=0.5); pyautogui.typewrite({repr(app_code)}); pyautogui.press('enter'); time.sleep(1.0)""
        elif self.platform == ""linux"":
            return UBUNTU_APP_SETUP.replace(""APP_NAME"", app_code)
        elif self.platform == ""windows"":
            return f""import pyautogui; import time; pyautogui.hotkey('win', 'd', interval=0.5); pyautogui.typewrite({repr(app_code)}); pyautogui.press('enter'); time.sleep(1.0)""",false,"        if self.platform == ""darwin"":",ĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ name : ( self . is _ name ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ):,100.0
"def _merge_data(self, existing: list[dict] | None, new_data: list[dict], key_field: str) -> list[dict]:
        
        [IF_MASK]
            return new_data

        # Create a set of existing keys for O(1) lookup
        existing_keys = {item[key_field] for item in existing}

        # Only add items that don't exist yet
        merged = existing.copy()
        merged.extend([item for item in new_data if item[key_field] not in existing_keys])
        return merged",false,        if not existing:,ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ key ): ( self . get _ key ): ): ): ): ):,100.0
"def check_hub_revision_exists(training_args: SFTConfig | GRPOConfig):
    
    [IF_MASK]
        if training_args.push_to_hub_revision is True:
            # First check if the revision exists
            revisions = [rev.name for rev in list_repo_refs(training_args.hub_model_id).branches]
            # If the revision exists, we next check it has a README file
            if training_args.hub_model_revision in revisions:
                repo_files = list_repo_files(
                    repo_id=training_args.hub_model_id,
                    revision=training_args.hub_model_revision,
                )
                if ""README.md"" in repo_files and training_args.overwrite_hub_revision is False:
                    raise ValueError(
                        f""Revision {training_args.hub_model_revision} already exists. ""
                        ""Use --overwrite_hub_revision to overwrite it.""
                    )",false,    if repo_exists(training_args.hub_model_id):,"ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ name , Ġ' id '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '):",100.0
"def __update_session_state(self, session: Session, event: Event) -> None:
    
    [IF_MASK]
      return
    for key, value in event.actions.state_delta.items():
      if key.startswith(State.TEMP_PREFIX):
        continue
      session.state.update({key: value})",false,    if not event.actions or not event.actions.state_delta:,"ĠĠĠ Ġif Ġnot Ġisinstance ( value , Ġname ): : ): Ġ( self . is _ key ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ):",100.0
"def restart(self) -> None:
        
        self._container.restart()
        [IF_MASK]
            raise ValueError(f""Failed to restart container. Logs: {self._container.logs()}"")",false,"        if self._container.status != ""running"":",ĠĠĠĠĠĠĠ Ġif Ġself ._ is _ name : ( self ._ name ): name ): name ): name ): name ): name ): name ): name ): name ): name ): name ): name ): name ): name ): name ): name ): name ):,100.0
"def save_fid_stats(paths, batch_size, device, dims, num_workers=1):
    
    [IF_MASK]
        raise RuntimeError(""Invalid path: %s"" % paths[0])

    if os.path.exists(paths[1]):
        raise RuntimeError(""Existing output file: %s"" % paths[1])

    block_idx = InceptionV3.BLOCK_INDEX_BY_DIM[dims]

    model = InceptionV3([block_idx]).to(device)

    print(f""Saving statistics for {paths[0]}"")

    m1, s1 = compute_statistics_of_path(paths[0], model, batch_size, dims, device, num_workers)

    np.savez_compressed(paths[1], mu=m1, sigma=s1)",false,    if not os.path.exists(paths[0]):,ĠĠĠ Ġif Ġnot Ġos . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path .,100.0
"def _update_macos_platform_uuid(self, new_ids):
        
        try:
            uuid_file = ""/var/root/Library/Preferences/SystemConfiguration/com.apple.platform.uuid.plist""
            [IF_MASK]
                # Use sudo to execute plutil command
                cmd = f'sudo plutil -replace ""UUID"" -string ""{new_ids[""telemetry.macMachineId""]}"" ""{uuid_file}""'
                result = os.system(cmd)
                if result == 0:
                    print(f""{Fore.GREEN}{EMOJI['SUCCESS']} {self.translator.get('reset.macos_platform_uuid_updated')}{Style.RESET_ALL}"")
                else:
                    raise Exception(f""{Fore.RED}{EMOJI['ERROR']} {self.translator.get('reset.failed_to_execute_plutil_command')}{Style.RESET_ALL}"")
        except Exception as e:
            print(f""{Fore.RED}{EMOJI['ERROR']} {self.translator.get('reset.update_macos_platform_uuid_failed', error=str(e))}{Style.RESET_ALL}"")
            raise",false,            if os.path.exists(uuid_file):,"ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . path , Ġ"" path '): path '): path '): path '): ): path '): path '): ): '): ): '):",100.0
"def process_audio_file(audio_path, text, polyphone):
    
    [IF_MASK]
        print(f""audio {audio_path} not found, skipping"")
        return None
    try:
        audio_duration = get_audio_duration(audio_path)
        if audio_duration <= 0:
            raise ValueError(f""Duration {audio_duration} is non-positive."")
        return (audio_path, text, audio_duration)
    except Exception as e:
        print(f""Warning: Failed to process {audio_path} due to error: {e}. Skipping corrupt file."")
        return None",false,    if not Path(audio_path).exists():,ĠĠĠ Ġif Ġnot Ġos . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path .,100.0
"def _search_by_url_sync(self, url: str, collection_name: str) -> Optional[List[str]]:
        
        client = self._get_milvus_client()
        
        logger.debug(f""Querying collection: {collection_name} for URL: {url}"")
        res = client.query(
            collection_name=collection_name,
            filter=f""url == '{url}'"",
            limit=1,
            output_fields=[""url"", ""text"", ""name"", ""site""],
        )
        
        [IF_MASK]
            logger.warning(f""No item found for URL: {url}"")
            return None
        
        item = res[0]
        txt = json.dumps(item[""text""])
        logger.info(f""Successfully retrieved item for URL: {url}"")
        return [item[""url""], txt, item[""name""], item[""site""]]",false,        if len(res) == 0:,ĠĠĠĠĠĠĠ Ġif Ġnot Ġself ._ name : name : name : name : name : name : name : name : name : name : name : name : name : name : name : name : name : name : name : name,100.0
"def get_all_pages(s3_client, document_files):
    
    file_contents = {}

    # First, collect all file paths and their document info
    for file_path in tqdm(document_files, desc=""Loading document files""):
        lines = load_document_file(s3_client, file_path)
        [IF_MASK]
            logger.warning(f""Empty or invalid file: {file_path}"")
            continue

        # Parse each line for document info
        documents = []
        for i, line in enumerate(lines):
            doc_info = get_document_info_from_line(line, file_path, i)
            # Always add an entry for each line, even if None, to preserve line alignment
            documents.append(doc_info)

        # Store all documents for this file
        file_contents[file_path] = documents
        logger.info(f""Loaded {len(documents)} documents from {file_path}"")

    logger.info(f""Loaded documents from {len(file_contents)} files"")
    return file_contents",false,        if not lines:,ĠĠĠĠĠĠĠ Ġif Ġnot Ġos . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path .,100.0
"def _store_conversation_turn(
        self, prompt: str, response_content: Dict[str, Any], call_type: str
    ):
        
        [IF_MASK]
            _conversation_history[self.request_id] = []

        # Add user message
        _conversation_history[self.request_id].append(
            {""role"": ""user"", ""content"": prompt}
        )

        # Add AI response based on call type
        ai_content = self._format_ai_response(response_content, call_type)
        if ai_content:
            _conversation_history[self.request_id].append(
                {""role"": ""assistant"", ""content"": ai_content}
            )

        # Update project metadata
        if self.request_id in _project_metadata:
            _project_metadata[self.request_id][""last_activity""] = time.time()",false,        if self.request_id not in _conversation_history:,ĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ id : ( self . is _ id ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ): ):,100.0
