Input provided to the model,Whether the prediction is correct (true/false),Expected if condition,Predicted if condition,Prediction score (0-100)
"    def read_data(self):
                                                      
        size = gsocket.bytesAvailable()
        if size <= 0:
            return
        [IF_MASK]
            self.buffer[self.offset:self.offset + size] = gsocket.read(size)
            self.offset += size
                                                                     
            return
        else:
            self.buffer[self.offset:8 * self.size] = gsocket.read(8 * self.size - self.offset)
            self.offset = 0

        self.display_data()
",false,        elif self.offset + size < 8 * self.size:,ĠĠĠĠĠĠĠ Ġif Ġself . is _ id : ( self . is _ id ): ):,100.0
"    def from_fields(ts, _len, event, rssi, chan, phy, body, crc_rev, crc_err,
                    dstate, peripheral_send=False):
        [IF_MASK]
            _len |= 0x8000
        if crc_err:
            _len |= 0x4000
        chan |= phy << 6
        fake_hdr = pack(""<LHHbB"", ts, _len, event, rssi, chan)
        return PacketMessage(fake_hdr + body, dstate, crc_rev=crc_rev)
",false,        if peripheral_send:,"ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( x , Ġ0 ): ): ): ( x ): ): ): (",100.0
"    def str_chm(self):
        if self.ChM == b'\xFF\xFF\xFF\xFF\x1F':
            descstr = ""all channels""
        else:
            has_chan = lambda chm, i: (chm[i // 8] & (1 << (i & 7))) != 0
            excludes = []
            for i in range(37):
                [IF_MASK]
                    excludes.append(i)
            descstr = ""excludes "" + "", "".join([str(i) for i in excludes])
        chanstr = ""%02X %02X %02X %02X %02X"" % tuple(self.ChM)
        return ""Channel Map: %s (%s)"" % (chanstr, descstr)
",false,"                if not has_chan(self.ChM, i):","ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ name , Ġ"" 1 '): ): ( self . get ( self",100.0
"    def str_aext(self):
        amodes = [""Non-connectable, non-scannable"",
                ""Connectable"", ""Scannable"", ""RFU""]
        modemsg = ""AdvMode: %s\n"" % amodes[self.AdvMode]

        dispMsgs = []
        if self.AdvA:
            dispMsgs.append(""AdvA: %s"" % str_mac2(self.AdvA, self.TxAdd))
        if self.TargetA:
            dispMsgs.append(""TargetA: %s"" % str_mac2(self.TargetA, self.RxAdd))
        if self.CTEInfo:
            dispMsgs.append(""CTEInfo: 0x%02X"" % self.CTEInfo)
        if self.AdvDataInfo:
            dispMsgs.append(str(self.AdvDataInfo))
        [IF_MASK]
                                     
            dispMsgs.append(""SyncInfo: %s"" % repr(self.SyncInfo))
        if self.TxPower:
            dispMsgs.append(""TxPower: %d"" % self.TxPower)
        if self.ACAD:
                                      
            dispMsgs.append(""ACAD: %s"" % repr(self.ACAD))

        dmsg = modemsg + "" "".join(dispMsgs)
        if self.AuxPtr:
            return ""\n"".join([str(self.AuxPtr), dmsg])
        else:
            return dmsg
",false,        if self.SyncInfo:,ĠĠĠĠĠĠĠ Ġif Ġself . is _ name : ( self . is _ name ): ): ): ( self,100.0
"    def process_token(self, kind, string, start, end, line):
                   
        if self.current_block.is_comment:
            if kind == tokenize.COMMENT:
                self.current_block.add(string, start, end, line)
            else:
                self.new_noncomment(start[0], end[0])
        else:
            [IF_MASK]
                self.new_comment(string, start, end, line)
            else:
                self.current_block.add(string, start, end, line)
",false,            if kind == tokenize.COMMENT:,ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ name : ( self . get ( self . get ( self . get _,100.0
"def button(parent,label='',pos=defPos,size=defSize,style=0,val=defVal,
        name='button',id=defId,onClick=None,tip=None):
                                                                            
    gButton = wx.Button(parent,id,label,pos,size,style,val,name)
    if onClick: gButton.Bind(wx.EVT_BUTTON,onClick)
    [IF_MASK]
    return gButton
",false,    if tip:,"ĠĠĠ Ġif Ġnot Ġisinstance ( value , Ġ' id '): 0 '): ( self . name '): ):",100.0
"def showLog(parent,logText,title='',style=0,asDialog=True,fixedFont=False,icons=None,size=True,question=False):
                                      
             
    pos = _settings.get('balt.LogMessage.pos',defPos)
    if size:
        size = _settings.get('balt.LogMessage.size',(400,400))
                      
    [IF_MASK]
        window = wx.Dialog(parent,defId,title,pos=pos,size=size,
            style=wx.DEFAULT_DIALOG_STYLE|wx.RESIZE_BORDER)
    else:
        window = wx.Frame(parent,defId,title,pos=pos,size=size,
            style= (wx.RESIZE_BORDER | wx.CAPTION | wx.SYSTEM_MENU | wx.CLOSE_BOX | wx.CLIP_CHILDREN))
        if icons: window.SetIcons(icons)
    window.SetSizeHints(200,200)
    window.Bind(wx.EVT_CLOSE,showLogClose)
    window.SetBackgroundColour(wx.NullColour)                                                               
           
    textCtrl = wx.TextCtrl(window,defId,logText,style=wx.TE_READONLY|wx.TE_MULTILINE|wx.TE_RICH2|wx.SUNKEN_BORDER  )
    if fixedFont:
        fixedFont = wx.SystemSettings_GetFont(wx.SYS_ANSI_FIXED_FONT )
        fixedFont.SetPointSize(8)
        fixedStyle = wx.TextAttr()
                                      
        fixedStyle.SetFont(fixedFont)
        textCtrl.SetStyle(0,textCtrl.GetLastPosition(),fixedStyle)
    if question:
        bosh.question = False
                  
        gYesButton = button(window,id=wx.ID_YES)
        gYesButton.Bind(wx.EVT_BUTTON, lambda evt, temp=window: showQuestionLogCloseYes(evt, temp) )
        gYesButton.SetDefault()
        gNoButton = button(window,id=wx.ID_NO)
        gNoButton.Bind(wx.EVT_BUTTON, lambda evt, temp=window: showQuestionLogCloseNo(evt, temp) )
                 
        window.SetSizer(
            vSizer(
                (textCtrl,1,wx.EXPAND|wx.ALL^wx.BOTTOM,2),
                hSizer((gYesButton,0,wx.ALIGN_RIGHT|wx.ALL,4),
                    (gNoButton,0,wx.ALIGN_RIGHT|wx.ALL,4))
                )
            )
    else:
                  
        gOkButton = button(window,id=wx.ID_OK,onClick=lambda event: window.Close())
        gOkButton.SetDefault()
                 
        window.SetSizer(
            vSizer(
                (textCtrl,1,wx.EXPAND|wx.ALL^wx.BOTTOM,2),
                (gOkButton,0,wx.ALIGN_RIGHT|wx.ALL,4),
                )
            )
           
    if asDialog:
        window.ShowModal()
        window.Destroy()
    else:
        window.Show()
    return bosh.question
",false,    if asDialog:,"ĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ id , Ġ' POST '): '): '): '): '):",100.0
"def showLog(parent,logText,title='',style=0,asDialog=True,fixedFont=False,icons=None,size=True,question=False):
                                      
             
    pos = _settings.get('balt.LogMessage.pos',defPos)
    if size:
        size = _settings.get('balt.LogMessage.size',(400,400))
                      
    if asDialog:
        window = wx.Dialog(parent,defId,title,pos=pos,size=size,
            style=wx.DEFAULT_DIALOG_STYLE|wx.RESIZE_BORDER)
    else:
        window = wx.Frame(parent,defId,title,pos=pos,size=size,
            style= (wx.RESIZE_BORDER | wx.CAPTION | wx.SYSTEM_MENU | wx.CLOSE_BOX | wx.CLIP_CHILDREN))
        [IF_MASK]
    window.SetSizeHints(200,200)
    window.Bind(wx.EVT_CLOSE,showLogClose)
    window.SetBackgroundColour(wx.NullColour)                                                               
           
    textCtrl = wx.TextCtrl(window,defId,logText,style=wx.TE_READONLY|wx.TE_MULTILINE|wx.TE_RICH2|wx.SUNKEN_BORDER  )
    if fixedFont:
        fixedFont = wx.SystemSettings_GetFont(wx.SYS_ANSI_FIXED_FONT )
        fixedFont.SetPointSize(8)
        fixedStyle = wx.TextAttr()
                                      
        fixedStyle.SetFont(fixedFont)
        textCtrl.SetStyle(0,textCtrl.GetLastPosition(),fixedStyle)
    if question:
        bosh.question = False
                  
        gYesButton = button(window,id=wx.ID_YES)
        gYesButton.Bind(wx.EVT_BUTTON, lambda evt, temp=window: showQuestionLogCloseYes(evt, temp) )
        gYesButton.SetDefault()
        gNoButton = button(window,id=wx.ID_NO)
        gNoButton.Bind(wx.EVT_BUTTON, lambda evt, temp=window: showQuestionLogCloseNo(evt, temp) )
                 
        window.SetSizer(
            vSizer(
                (textCtrl,1,wx.EXPAND|wx.ALL^wx.BOTTOM,2),
                hSizer((gYesButton,0,wx.ALIGN_RIGHT|wx.ALL,4),
                    (gNoButton,0,wx.ALIGN_RIGHT|wx.ALL,4))
                )
            )
    else:
                  
        gOkButton = button(window,id=wx.ID_OK,onClick=lambda event: window.Close())
        gOkButton.SetDefault()
                 
        window.SetSizer(
            vSizer(
                (textCtrl,1,wx.EXPAND|wx.ALL^wx.BOTTOM,2),
                (gOkButton,0,wx.ALIGN_RIGHT|wx.ALL,4),
                )
            )
           
    if asDialog:
        window.ShowModal()
        window.Destroy()
    else:
        window.Show()
    return bosh.question
",false,        if icons:,"ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ id , Ġ' POST '): '): '): '): '):",100.0
"    def OnDragging(self,x,y,dragResult):
                                                           
        index, flags = self.HitTest((x, y))
        if index == wx.NOT_FOUND:                              
            if self.GetItemCount() > 0:
                if y <= self.GetItemRect(0).y:
                                                   
                    self.ScrollLines(-1)
                elif y >= self.GetItemRect(self.GetItemCount() - 1).y:
                                                  
                    self.ScrollLines(1)
        else:
                                                   
            pos = index - self.GetScrollPos(wx.VERTICAL)
            [IF_MASK]
                                                                    
                rect = self.GetItemRect(index)
                if y < rect.y + rect.height/2:
                    self.ScrollLines(-1)
            elif pos == self.GetCountPerPage():
                                                           
                self.ScrollLines(1)
",false,            if pos == 0:,ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġself . has _ key ( self . get ( self . get ( self . get ( self . get,100.0
"    def OnDragging(self,x,y,dragResult):
                                                           
        index, flags = self.HitTest((x, y))
        if index == wx.NOT_FOUND:                              
            if self.GetItemCount() > 0:
                if y <= self.GetItemRect(0).y:
                                                   
                    self.ScrollLines(-1)
                elif y >= self.GetItemRect(self.GetItemCount() - 1).y:
                                                  
                    self.ScrollLines(1)
        else:
                                                   
            pos = index - self.GetScrollPos(wx.VERTICAL)
            if pos == 0:
                                                                    
                rect = self.GetItemRect(index)
                [IF_MASK]
                    self.ScrollLines(-1)
            elif pos == self.GetCountPerPage():
                                                           
                self.ScrollLines(1)
",false,                if y < rect.y + rect.height/2:,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġself . has _ key Ġ== Ġ0 : 1 : 1 : 1 : 1 :,100.0
"    def OnDropIndexes(self, indexes, newPos):
                                                   
        data = self.data
        column = self.sort
        reverse = self.colReverse.get(column,False)
        [IF_MASK]
            newPos = self.gList.GetItemCount() - newPos - 1 - (indexes[-1]-indexes[0])
            if newPos < 0: newPos = 0

                                                    
        self.data.moveArchives(self.GetSelected(), newPos)
        self.data.refresh(what='N')
        self.RefreshUI()
",false,        if reverse:,ĠĠĠĠĠĠĠ Ġif Ġself . is _ name : ( self . is _ id ): ): ): ( self,100.0
"    def UpdateItem(self,index,item=None,selected=tuple()):
                                               
        if index < 0: return
        data,gList = self.data,self.gList
        item = item or self.GetItem(index)
        for iColumn,column in enumerate(self.cols):
            colDex = self.GetColumnDex(column)
            gList.SetStringItem(index,iColumn,data.getColumns(item)[colDex])
        gItem = gList.GetItem(index)
        iconKey,textKey,backKey = data.getGuiKeys(item)
        if iconKey and self.icons: gItem.SetImage(self.icons[iconKey])
        [IF_MASK]
        else: gItem.SetTextColour(gList.GetTextColour())
        if backKey: gItem.SetBackgroundColour(colors[backKey])
        else: gItem.SetBackgroundColour(self.defaultTextBackground)
                                                                      
        gItem.SetData(self.GetId(item))
        gList.SetItem(gItem)
",false,        if textKey:,ĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ id : ( self . is _ id ): ): ): (,100.0
"    def RefreshDetails(self,item=None):
                                                                   
        [IF_MASK]
        item = item or self.GetDetailsItem()
        if item not in self.data: item = None
",false,        if self.details:,ĠĠĠĠĠĠĠ Ġif Ġself . is _ name : ( self . is _ name ): ): ): ):,100.0
"    def RefreshDetails(self,item=None):
                                                                   
        if self.details: return self.details.RefreshDetails(item)
        item = item or self.GetDetailsItem()
        [IF_MASK]
",false,        if item not in self.data:,"ĠĠĠĠĠĠĠ Ġif Ġself . is _ type : ( self . is _ type , Ġ' user '): '): '):",100.0
"    def DoItemMenu(self,event):
                             
        selected = self.GetSelected()
        [IF_MASK]
            self.DoColumnMenu(event,0)
            return
        if not self.itemMenu: return
        self.itemMenu.PopupMenu(self,Link.Frame,selected)
",false,        if not selected:,ĠĠĠĠĠĠĠ Ġif Ġself . is _ name : ( self . is _ name ): ): ): ):,100.0
"    def AppendToMenu(self,menu,window,data):
                                                                     
        subMenu = wx.Menu()
        for link in self.links:
            link.AppendToMenu(subMenu,window,data)
        menu.AppendMenu(-1,self.name,subMenu)
        [IF_MASK]
            id = menu.FindItem(self.name)
            menu.Enable(id,False)
",false,        if self.oneDatumOnly and len(data) != 1:,ĠĠĠĠĠĠĠ Ġif Ġself . is _ id : ( self . is _ id ): ): ): ( self,100.0
"    def Execute(self,event):
        srcDir = self.data.dir
        srcName = self.selected[0]
        (root,ext) = srcName.rootExt
        (destDir,destName,wildcard) = (srcDir, root+' Copy'+ext,'*'+ext)
        destPath = askSave(self.gTank,_('Duplicate as:'),destDir,destName,wildcard)
        if not destPath: return
        destDir,destName = destPath.headTail
        if (destDir == srcDir) and (destName == srcName):
            balt.showError(self.window,_(""Files cannot be duplicated to themselves!""))
            return
        self.data.copy(srcName,destName,destDir)
        [IF_MASK]
            self.gTank.RefreshUI()
",false,        if destDir == srcDir:,ĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ id : ( self . is _ id ): ): ): (,100.0
"    def _delete_main_framebuffer(self):

        if self._main_fb is not None:
            glDeleteFramebuffers(1, [self._main_fb])
        [IF_MASK]
            glDeleteRenderbuffers(1, [self._main_cb])
        if self._main_db is not None:
            glDeleteRenderbuffers(1, [self._main_db])

        self._main_fb = None
        self._main_cb = None
        self._main_db = None

        if self.additive_reg_ims is not None:
            for reg_img in self.additive_reg_ims:
                check_cudart_err(cudart.cudaGraphicsUnregisterResource(reg_img))

            self.additive_reg_ims = None

        if self.subtractive_reg_ims is not None:
            for reg_img in self.subtractive_reg_ims:
                check_cudart_err(cudart.cudaGraphicsUnregisterResource(reg_img))

            self.subtractive_reg_ims = None

        if self.mesh_sub_reg_ims is not None:
            for reg_img in self.mesh_sub_reg_ims:
                check_cudart_err(cudart.cudaGraphicsUnregisterResource(reg_img))

            self.mesh_sub_reg_ims = None

        if self.g_peelTexId is not None:
            glDeleteTextures(self.num_peel_passes, self.g_peelTexId)
            self.g_peelTexId = None
        if self.g_peelFboIds is not None:
            glDeleteFramebuffers(self.num_peel_passes, self.g_peelFboIds)
            self.g_peelFboIds = None
        if self.g_densityTexId is not None:
            glDeleteTextures(
                self.mesh_layers * self.prim_unqiue_materials, self.g_densityTexId
            )
            self.g_densityTexId = None
        if self.g_densityFboId is not None:
            glDeleteFramebuffers(
                self.mesh_layers * self.prim_unqiue_materials, self.g_densityFboId
            )
            self.g_densityFboId = None
        if self.g_peelTexSubId is not None:
            glDeleteTextures(self.num_peel_passes * 2, self.g_peelTexSubId)
            self.g_peelTexSubId = None
        if self.g_peelFboSubIds is not None:
            glDeleteFramebuffers(self.num_peel_passes * 2, self.g_peelFboSubIds)
            self.g_peelFboSubIds = None

        self._fb_initialized = False
        self._main_fb_dims = (None, None)
",false,        if self._main_cb is not None:,"ĠĠĠĠĠĠĠ Ġif Ġself ._ is _ name : ( self . is _ name , Ġ' name '): ): '):",100.0
"    def _read_distance_framebuffer(self, scene, flags):
        width, height = self._main_fb_dims[0], self._main_fb_dims[1]

        glBindFramebuffer(GL_READ_FRAMEBUFFER, self.g_densityFboId[0])

        color_buf = glReadPixels(
            0,
            0,
            width,
            height,
            GL_RGB,
            GL_FLOAT,
                                                   
                                                           
        )
        color_im = np.frombuffer(color_buf, dtype=np.float32)
        color_im = color_im.reshape((height, width, 3))
                                                      
                                              

                                    
        [IF_MASK]
            color_im = self._resize_image(color_im, True)

        return color_im
",false,"        if sys.platform == ""darwin"":",ĠĠĠĠĠĠĠ Ġif Ġself ._ is _ name : ( self ._ get _ key ): ): ): ):,100.0
"  def test_naming_conventions(self):
                                                             
    for car in self.all_cars:
      with self.subTest(car=car):
        tokens = car.model.lower().split("" "")
        if car.car_name == ""hyundai"":
          self.assertNotIn(""phev"", tokens, ""Use `Plug-in Hybrid`"")
          self.assertNotIn(""hev"", tokens, ""Use `Hybrid`"")
          if ""plug-in hybrid"" in car.model.lower():
            self.assertIn(""Plug-in Hybrid"", car.model, ""Use correct capitalization"")
          [IF_MASK]
            self.assertNotIn(""ev"", tokens, ""Use `Electric`"")
        elif car.car_name == ""toyota"":
          if ""rav4"" in tokens:
            self.assertIn(""RAV4"", car.model, ""Use correct capitalization"")
",false,"          if car.make != ""Kia"":","ĠĠĠĠĠĠĠ Ġif Ġself . name Ġ== Ġ"" name "": name "": name "": name "": name "": name",100.0
"    def get_closest_responded_qnodes(self,
                                     num_nodes=ANNOUNCE_REDUNDANCY):
        closest_responded_qnodes = []
        for qnode in self.responded_qnodes:
            if qnode.token:
                closest_responded_qnodes.append(qnode)
                [IF_MASK]
                    break
        return closest_responded_qnodes
",false,                if len(closest_responded_qnodes) == num_nodes:,ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ type _ type _ type _ type _ type _ type _ type _ type _,100.0
"    def _pop_nodes_to_query(self, max_nodes):
        if len(self.responded_qnodes) > MARK_INDEX:
            mark = self.responded_qnodes[MARK_INDEX].log_distance
        else:
            mark = identifier.ID_SIZE_BITS
        nodes_to_query = [] 
        for _ in range(max_nodes):
            try:
                qnode = self.queued_qnodes[0]
            except (IndexError):
                break                            
            [IF_MASK]
                self.queried_ips.add(qnode.node.ip)
                nodes_to_query.append(qnode.node)
                del self.queued_qnodes[0]
                self.queued_ips.remove(qnode.node.ip)
        self.last_query_ts = time.time()
        return nodes_to_query
",false,            if qnode.log_distance < mark:,ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġself . is _ name : ( self . is _ key ): ): ( self . is,100.0
"    def _checkShapeAppend(self, nparr):
                                                                     

                                                 
        myrank = len(self.shape)
        narank = len(nparr.shape) - len(self.atom.shape)
        [IF_MASK]
            raise ValueError(""""""\
the ranks of the appended object (%d) and the ``%s`` EArray (%d) differ""""""
                             % (narank, self._v_pathname, myrank))
        for i in range(myrank):
            if i != self.extdim and self.shape[i] != nparr.shape[i]:
                raise ValueError(""""""\
the shapes of the appended object and the ``%s`` EArray \
differ in non-enlargeable dimension %d"""""" % (self._v_pathname, i))
",false,        if myrank != narank:,ĠĠĠĠĠĠĠ Ġif Ġnot Ġself ._ is _ name : ( self . is _ name ): ): ): (,100.0
"    def POST(self, action=None, param0=None, param1=None):
        if (action == 'join'):
            return self.join()
        elif (action == 'endorse'):
            if (param0 == 'remove'):
                return self.removeEndorsement()
            else:
                return self.endorse()
        [IF_MASK]
            if (param0 == 'add'):
                return self.addLink()
            elif (param0 == 'remove'):
                return self.removeLink()
            else:
                return self.not_found()
        elif (action == 'resource'):
            if (param0 == 'add'):
                return self.addResource()
            elif (param0 == 'remove'):
                return self.removeResource()
            else:
                return self.not_found()
        elif (action == 'message'):
            if (param0 == 'add'):
                return self.addMessage()
            elif (param0 == 'remove'):
                return self.removeMessage()
            else:
                return self.not_found()
        elif (action == 'tag'):
            if (param0 == 'add'):
                return self.addKeywords()
            elif (param0 == 'remove'):
                return self.removeKeyword()
            else:
                return self.not_found()
        elif (action == 'invite'):
            return self.invite()
        elif (action == 'leave'):
            return self.leaveProject()
        elif (action == 'user'):
            if (param0 == 'remove'):
                return self.removeUser()
            elif (param0 == 'admin'):
                if (param1 == 'add'):
                    return self.setAdmin(True)
                elif (param1 == 'remove'):
                    return self.setAdmin(False)
                else:
                    return self.not_found()
            else:
                return self.not_found()
        elif (action == 'photo'):
            return self.updateImage()
        elif (action == 'description'):
            return self.updateDescription()
        elif (action == 'title'):
            return self.updateTitle()
        else:
            return self.not_found()
",false,        elif (action == 'link'):,ĠĠĠĠĠĠĠ Ġif Ġself . is _ key Ġ== Ġ' POST ': ': ':,100.0
"    def POST(self, action=None, param0=None, param1=None):
        if (action == 'join'):
            return self.join()
        elif (action == 'endorse'):
            if (param0 == 'remove'):
                return self.removeEndorsement()
            else:
                return self.endorse()
        elif (action == 'link'):
            if (param0 == 'add'):
                return self.addLink()
            elif (param0 == 'remove'):
                return self.removeLink()
            else:
                return self.not_found()
        elif (action == 'resource'):
            [IF_MASK]
                return self.addResource()
            elif (param0 == 'remove'):
                return self.removeResource()
            else:
                return self.not_found()
        elif (action == 'message'):
            if (param0 == 'add'):
                return self.addMessage()
            elif (param0 == 'remove'):
                return self.removeMessage()
            else:
                return self.not_found()
        elif (action == 'tag'):
            if (param0 == 'add'):
                return self.addKeywords()
            elif (param0 == 'remove'):
                return self.removeKeyword()
            else:
                return self.not_found()
        elif (action == 'invite'):
            return self.invite()
        elif (action == 'leave'):
            return self.leaveProject()
        elif (action == 'user'):
            if (param0 == 'remove'):
                return self.removeUser()
            elif (param0 == 'admin'):
                if (param1 == 'add'):
                    return self.setAdmin(True)
                elif (param1 == 'remove'):
                    return self.setAdmin(False)
                else:
                    return self.not_found()
            else:
                return self.not_found()
        elif (action == 'photo'):
            return self.updateImage()
        elif (action == 'description'):
            return self.updateDescription()
        elif (action == 'title'):
            return self.updateTitle()
        else:
            return self.not_found()
",false,            if (param0 == 'add'):,ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġself . is _ key Ġ== Ġ' 0 ': 0 ': 1 ': 1 ': 1 ':,100.0
"    def POST(self, action=None, param0=None, param1=None):
        if (action == 'join'):
            return self.join()
        elif (action == 'endorse'):
            if (param0 == 'remove'):
                return self.removeEndorsement()
            else:
                return self.endorse()
        elif (action == 'link'):
            if (param0 == 'add'):
                return self.addLink()
            elif (param0 == 'remove'):
                return self.removeLink()
            else:
                return self.not_found()
        elif (action == 'resource'):
            if (param0 == 'add'):
                return self.addResource()
            elif (param0 == 'remove'):
                return self.removeResource()
            else:
                return self.not_found()
        elif (action == 'message'):
            if (param0 == 'add'):
                return self.addMessage()
            elif (param0 == 'remove'):
                return self.removeMessage()
            else:
                return self.not_found()
        [IF_MASK]
            if (param0 == 'add'):
                return self.addKeywords()
            elif (param0 == 'remove'):
                return self.removeKeyword()
            else:
                return self.not_found()
        elif (action == 'invite'):
            return self.invite()
        elif (action == 'leave'):
            return self.leaveProject()
        elif (action == 'user'):
            if (param0 == 'remove'):
                return self.removeUser()
            elif (param0 == 'admin'):
                if (param1 == 'add'):
                    return self.setAdmin(True)
                elif (param1 == 'remove'):
                    return self.setAdmin(False)
                else:
                    return self.not_found()
            else:
                return self.not_found()
        elif (action == 'photo'):
            return self.updateImage()
        elif (action == 'description'):
            return self.updateDescription()
        elif (action == 'title'):
            return self.updateTitle()
        else:
            return self.not_found()
",false,        elif (action == 'tag'):,ĠĠĠĠĠĠĠ Ġif Ġself . is _ key Ġ== Ġ' POST ': ': ': ':,100.0
"    def join(self):
        projectId = self.request('project_id')

        if (not self.user):
            log.error(""*** join submitted w/o logged in user"")
            return False
        elif (not projectId):
            log.error(""*** join submitted w/o logged project id"")
            return False
        
        else:
            isJoined = mProject.join(self.db, projectId, self.user.id)

            if (isJoined):
                project = mProject.Project(self.db, projectId)
                
                                                           
                message = 'New Member! Your project now has %s total!' % project.data.num_members

                             
                [IF_MASK]
                                                    projectId,
                                                    project.data.title,
                                                    self.user.id,
                                                    mProject.userNameDisplay(self.user.firstName,
                                                                             self.user.lastName,
                                                                             self.user.affiliation,
                                                                             mProject.isFullLastName(self.user.groupMembershipBitmask)))):
                    log.error(""*** couldn't email admin on user_id = %s joining project %s"" % (self.user.id, projectId))

                if (not mProject.addMessage(self.db,
                                            projectId,
                                            message,
                                            'join',
                                            self.user.id)):
                    log.error(""*** new message not created for user %s on joining project %s"" % (self.user.id, projectId))

        return isJoined
",false,"                if (not mMessaging.emailProjectJoin(project.data.owner_email,",ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ id : ( self . is _ id ): ): ): ):,100.0
"    def removeLink(self):
        projectId = self.request('project_id')
        linkId = self.request('link_id')

        if (not linkId):
            log.error(""*** link removal submitted missing an id"")
            return False
        else:
            [IF_MASK]
                not self.user.isModerator and
                not self.user.isProjectAdmin(projectId)):
                log.warning(""*** unauthorized link removal attempt by user_id = %s"" % self.user.id)
                return False
            else:
                return mProject.setLinkIsActive(self.db, linkId, 0)
",false,            if (not self.user.isAdmin and,ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ id : ( self . is _ id ): ): ): ):,100.0
"    def removeResource(self):
        projectId = self.request('project_id')
        projectResourceId = self.request('project_resource_id')

        [IF_MASK]
            log.error(""*** resource removal submitted missing an id"")
            return False
        else:
            if (not self.user.isAdmin and
                not self.user.isModerator and
                not self.user.isProjectAdmin(projectId)):
                log.warning(""*** unauthorized resource removal attempt by user_id = %s"" % self.user.id)
                return False
            else:
                return mProject.removeResourceFromProject(self.db, projectId, projectResourceId)
",false,        if (not projectId or not projectResourceId):,ĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ id : ( self . is _ id ): ): ): ):,100.0
"    def removeResource(self):
        projectId = self.request('project_id')
        projectResourceId = self.request('project_resource_id')

        if (not projectId or not projectResourceId):
            log.error(""*** resource removal submitted missing an id"")
            return False
        else:
            [IF_MASK]
                not self.user.isModerator and
                not self.user.isProjectAdmin(projectId)):
                log.warning(""*** unauthorized resource removal attempt by user_id = %s"" % self.user.id)
                return False
            else:
                return mProject.removeResourceFromProject(self.db, projectId, projectResourceId)
",false,            if (not self.user.isAdmin and,"ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ id , Ġ' id '): '): '): '): '):",100.0
"    def process_response(self, request, response):
        patch_vary_headers(response, ('Accept-Encoding',))
        
                                                                          
                                                  
        is_js = ""javascript"" in response.headers.get('Content-Type', '').lower()
        if response.has_header('Content-Encoding') or is_js:
            return response

        ae = request.META.get('HTTP_ACCEPT_ENCODING', '')
        [IF_MASK]
            return response

        response.content = compress_string(response.content)
        response['Content-Encoding'] = 'gzip'
        response['Content-Length'] = str(len(response.content))
        return response
",false,        if not re_accepts_gzip.search(ae):,ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ id ): ): ): ): ): ): ):,100.0
"    def __init__(self, name=None):
        self._registry = {}                                             
        [IF_MASK]
            name = ''
        else:
            name += '_'
        self.name = name
",false,        if name is None:,ĠĠĠĠĠĠĠ Ġif Ġself ._ name Ġis ĠNone : name : name : name : name : name :,100.0
"def memoize(function, limit=None):
    [IF_MASK]
        def memoize_wrapper(f):
            return memoize(f, function)

        return memoize_wrapper

    dict = {}
    list = []
    def memoize_wrapper(*args, **kwargs):
        key = cPickle.dumps((args, kwargs))
        try:
            list.append(list.pop(list.index(key)))
        except ValueError:
            dict[key] = function(*args, **kwargs)
            list.append(key)
            if limit is not None and len(list) > limit:
                del dict[list.pop(0)]

        return dict[key]

    memoize_wrapper._memoize_dict = dict
    memoize_wrapper._memoize_list = list
    memoize_wrapper._memoize_limit = limit
    memoize_wrapper._memoize_origfunc = function
    memoize_wrapper.func_name = function.func_name
    return memoize_wrapper
",false,"    if isinstance(function, int):","ĠĠĠ Ġif Ġnot Ġisinstance ( name , Ġ' name '): 0 '): 0 '): 0 '): 0 '):",100.0
"    def memoize_wrapper(*args, **kwargs):
        key = cPickle.dumps((args, kwargs))
        
        if os.path.exists(file):
            f = open(file)
            c = cPickle.load(f)
            f.close()
        else:
            c = {}
            
        [IF_MASK]
            return c[key]
        else:
            c[key] = func(*args, **kwargs)
                             
            f = open(file, 'w')
            cPickle.dump(c, f)
            f.close()
                          
            return c[key]
",false,        if c.has_key(key):,ĠĠĠĠĠĠĠ Ġif Ġnot Ġos . path . path . path . path . path . path . path . path . path .,100.0
